Food,Nutr. Units / FU,Data Type,Unit,5th pctl,10th pctl,Mean,Median,90th pctl,95 pctl,North America,Latin America,Sub-Saharan Africa,Western Europe,Eastern Europe,Russia,Middle East / North Africa,South Asia,SE Asia,Oceania,World
Beyond Meat,-,GHG,kg CO2eq/FU,,,3.35,3.35,,,,,,,,,,,,,
Mealworm,-,GHG,kg CO2eq/FU,2.65,2.65,2.65,2.65,,,,,,,,,,,,,
Wheat & Rye (Bread),2.7,GHG,kg CO2eq/FU,0.30,0.30,0.60,0.50,0.90,1.10,,,,,,,,,,,
Maize (Meal),4.5,GHG,kg CO2eq/FU,0.10,0.20,0.40,0.30,0.50,0.80,,,,,,,,,,,
Barley (Beer),5,GHG,kg CO2eq/FU,0.10,0.10,0.20,0.20,0.30,0.40,,,,,,,,,,,
Oatmeal,2.6,GHG,kg CO2eq/FU,0.30,0.30,0.90,1.00,1.60,1.60,,,,,,,,,,,
Rice,3.7,GHG,kg CO2eq/FU,0.30,0.40,1.20,1.00,2.40,2.80,,,,,,,,,,,
Potatoes,0.7,GHG,kg CO2eq/FU,0.10,0.20,0.60,0.60,0.90,1.00,,,,,,,,,,,
Cassava,1,GHG,kg CO2eq/FU,0.30,0.40,1.40,1.10,2.20,2.30,,,,,,,,,,,
Cane Sugar,-,GHG,kg CO2eq/FU,0.60,0.90,3.20,3.20,5.10,5.60,,,,,,,,,,,
Beet Sugar,-,GHG,kg CO2eq/FU,1.00,1.20,1.80,1.80,2.40,2.60,,,,,,,,,,,
Other Pulses,2.1,GHG,kg CO2eq/FU,0.40,0.50,0.80,0.60,1.80,1.90,,,,,,,,,,,
Peas,2.2,GHG,kg CO2eq/FU,0.20,0.30,0.40,0.40,0.80,0.80,,,,,,,,,,,
Nuts,1.6,GHG,kg CO2eq/FU,-2.50,-2.20,0.30,-0.80,2.40,6.60,,,,,,,,,,,
Groundnuts,2.6,GHG,kg CO2eq/FU,0.50,0.60,1.20,1.30,2.20,2.30,,,,,,,,,,,
Soymilk,-,GHG,kg CO2eq/FU,0.50,0.60,1.00,0.90,1.50,1.70,,,,,,,,,,,
Tofu,1.6,GHG,kg CO2eq/FU,0.90,1.00,2.00,1.60,3.50,4.50,,,,,,,,,,,
Soybean Oil,-,GHG,kg CO2eq/FU,2.20,2.40,6.30,3.90,13.00,19.00,,,,,,,,,,,
Palm Oil,-,GHG,kg CO2eq/FU,2.80,3.60,7.30,7.20,12.00,13.00,,,,,,,,,,,
Sunflower Oil,-,GHG,kg CO2eq/FU,2.20,2.50,3.60,3.50,4.60,4.90,,,,,,,,,,,
Rapeseed Oil,-,GHG,kg CO2eq/FU,2.20,2.50,3.80,3.50,4.60,7.20,,,,,,,,,,,
Olive Oil,-,GHG,kg CO2eq/FU,2.10,2.90,5.40,5.10,7.60,11.00,,,,,,,,,,,
Tomatoes,-,GHG,kg CO2eq/FU,0.40,0.40,2.10,0.70,6.00,13.00,,,,,,,,,,,
Onions & Leeks,-,GHG,kg CO2eq/FU,0.30,0.30,0.50,0.40,0.80,0.80,,,,,,,,,,,
Root Vegetables,-,GHG,kg CO2eq/FU,0.20,0.20,0.40,0.40,0.60,0.60,,,,,,,,,,,
Brassicas,-,GHG,kg CO2eq/FU,0.20,0.20,0.50,0.40,1.00,1.20,,,,,,,,,,,
Other Vegetables,-,GHG,kg CO2eq/FU,0.20,0.20,0.50,0.40,1.00,1.10,,,,,,,,,,,
Citrus Fruit,-,GHG,kg CO2eq/FU,0.01,0.10,0.40,0.30,0.60,0.70,,,,,,,,,,,
Bananas,-,GHG,kg CO2eq/FU,0.60,0.60,0.90,0.80,1.20,1.30,,,,,,,,,,,
Apples,-,GHG,kg CO2eq/FU,0.30,0.30,0.40,0.40,0.60,0.60,,,,,,,,,,,
Berries & Grapes,-,GHG,kg CO2eq/FU,0.60,0.80,1.50,1.40,2.70,2.90,,,,,,,,,,,
Wine,12.5,GHG,kg CO2eq/FU,0.10,0.10,0.10,0.10,0.20,0.40,,,,,,,,,,,
Other Fruit,-,GHG,kg CO2eq/FU,0.30,0.40,1.10,0.70,2.90,3.00,,,,,,,,,,,
Coffee,67,GHG,kg CO2eq/FU,0.10,0.10,0.40,0.10,1.30,1.30,,,,,,,,,,,
Dark Chocolate,20,GHG,kg CO2eq/FU,-0.20,-0.01,2.30,0.20,6.70,13.00,,,,,,,,,,,
Bovine Meat (Beef herd),2,GHG,kg CO2eq/FU,37.60,40.40,99.50,60.40,209.90,269.20,30.00,72.00,71.00,18.00,14.00,15.00,27.00,76.00,57.00,26.00,46.00
Bovine Meat (Dairy herd),2,GHG,kg CO2eq/FU,7.60,9.10,17.00,17.00,26.00,29.00,,,,,,,,,,,
Lamb & Mutton,2,GHG,kg CO2eq/FU,23.70,24.50,39.70,40.60,54.40,60.20,,,,,,,,,,,
Pig Meat,1.6,GHG,kg CO2eq/FU,6.90,7.40,12.30,10.60,22.30,23.80,,,,,,,,,,,
Poultry Meat,1.7,GHG,kg CO2eq/FU,4.00,4.20,9.90,7.50,20.10,20.80,,,,,,,,,,,
Milk,-,GHG,kg CO2eq/FU,1.50,1.70,3.20,2.70,4.80,7.00,,,,,,,,,,,
Cheese,2.2,GHG,kg CO2eq/FU,4.60,4.90,11.00,8.40,18.00,27.00,,,,,,,,,,,
Eggs,1.1,GHG,kg CO2eq/FU,2.60,2.60,4.20,3.80,7.60,7.70,,,,,,,,,,,
Fish (farmed),2.3,GHG,kg CO2eq/FU,2.40,2.50,6.00,3.50,12.00,14.00,,,,,,,,,,,
Crustaceans (Farmed),1.5,GHG,kg CO2eq/FU,7.40,8.00,26.90,14.70,52.10,115.10,,,,,,,,,,,
Beyond Meat,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Mealworm,-,Land Use,m2/FU,,,,,,,,,,,,,,,,,
Wheat & Rye (Bread),2.7,Land Use,m2/FU,1.08,1.08,3.78,2.70,7.83,9.99,,,,,,,,,,,
